OS01W :     Name
LS05M :     Base Currency
OS385 :     Ticker
OS05J :     ISIN
LF035 :     Global Broad Category Group
LF037 :     Global Category
OF028 :     Morningstar Category
AA071 :     Morningstar Institutional Category
RR01Y :     Morningstar Rating Overall
MMR01 :     Morningstar Medalist Rating
MMR1E :     Morningstar Medalist Rating Parent Pillar
MMR2E :     Morningstar Medalist Rating People Pillar
MMR3E :     Morningstar Medalist Rating Process Pillar
MMR4E :     Morningstar Medalist Rating Price Pillar
MMR5E :     Morningstar Medalist Rating Performance Pillar
LF002 :     US Category Group
LS017 :     Domicile
LH007 :     Fund Legal Structure
HS05A :     Equity Style Box (Long)
HS00L :     Fixed Income Surveyed Style Box
OF006 :     Firm Name
FC001 :     Branding Name
OS00F :     Inception Date
OF015 :     Manager Name
OF115 :     Manager Gender
OF098 :     Manager History
OS276 :     Manager Ownership Level
OF00F :     Manager Tenure (Longest)
OF033 :     Manager Tenure (Average)
OF00L :     Primary Prospectus Benchmark
OF00P :     Primary Prospectus Benchmark Id
OF01P :     Primary Prospectus Benchmark Inception Date
OF00S :     Net Assets Date
OS013 :     Net Assets - Share Class
OF010 :     Fund Size Date
OF009 :     Fund Size
OS01A :     Holding of an Investment
OS00H :     Oldest Share Class
PM037 :     12 Mo Yield Date
PM032 :     12 Mo Yield
PM040 :     Yield 12 Month At Market Price
PM041 :     Yield 12 Month At Market Price End Date
OS088 :     Latest Dividend Date
OS089 :     Latest Dividend
ST47D :     Unsplit Dividend amount history - Korea
OF478 :     Share Split
OS090 :     Latest Capital Gain Date
OS091 :     Latest Capital Gain
HS000 :     Portfolio Date
PD001 :     Return Date (Daily)
OS060 :     NAV (Daily)
PD003 :     Total Ret 1 Day (Daily)
PD00B :     Total Ret YTD (Daily)
PD00D :     Total Ret 1 Yr (Daily)
PD014 :     Total Ret Annlzd 2 Yr (Daily)
PD00F :     Total Ret Annlzd 3 Yr (Daily)
PD00H :     Total Ret Annlzd 5 Yr (Daily)
